agg_column,baseline_agg_result,baseline_build_time,baseline_bytes,baseline_count,baseline_time,bitmap_build_time,bitmap_bytes,bitmap_cardinality,bitmap_count,bitmap_mismatch,bitmap_time,bitslice_bit_width,bitslice_build_time,bitslice_bytes,bitslice_count,bitslice_mismatch,bitslice_time,bitweave_bit_width,bitweave_build_time,bitweave_bytes,bitweave_count,bitweave_mismatch,bitweave_time,column,dataset,delta_build_time,delta_bytes,delta_compression_ratio,delta_count,delta_time,dict_agg_result,dict_build_time,dict_bytes,dict_cardinality,dict_count,dict_segments_skipped,dict_time,imprints_build_time,imprints_bytes,imprints_count,imprints_false_neg,imprints_false_pos,imprints_segments_pruned,imprints_time,n_rows,operator,query_type,rle_agg_result,rle_build_time,rle_bytes,rle_compression_ratio,rle_count,rle_run_count,rle_speedup,rle_time,selectivity,value,zonemap_agg_result,zonemap_build_time,zonemap_bytes,zonemap_count,zonemap_mismatch,zonemap_segments_skipped,zonemap_skip_ratio,zonemap_time
,,1.9581057131290436e-06,8128964,1,0.034817219,,,,,,,,,,,,,20,10.431601458229125,2500000,1,0,0.3247923329472542,random_val,high_cardinality,1.462211790960282,2666034,3.0007119189027596,1,1.1466755839064717,,0.48312670830637217,21841203,0,1,133,0.002315333,0.7847307091578841,7816,1,0,0,0,0.005030625,1000000,=,equality_rare,,2.5746407923288643,24000000,1,1,0,,0.025772095,1e-06,500000,,1.000240445137024e-06,23448,1,0,0,0,0.030003070831298828
,,2.874992787837982e-06,8128964,100175,0.040264845,,,,,,,20,0.026154750026762486,20000000,100175,0,0.002434625,20,10.621828916948289,2500000,100175,0,0.32671279227361083,random_val,high_cardinality,1.4866583747789264,2666034,3.0007119189027596,0,1.1511085419915617,,0.4897568328306079,21841203,0,0,0,1.7499551177024841e-06,0.7624170826748013,7816,100175,0,0,0,0.00705175,1000000,<,selective_range,,2.601184417,24000000,1,0,0,,0.027091026306152344,0.100175,100000,,1.4998950064182281e-06,23448,100175,0,0,0,0.036689997
,,2.9997900128364563e-06,8128964,499536,0.050837039947509766,,,,,,,,,,,,,20,10.450672667007893,2500000,499536,0,0.35091475024819374,random_val,high_cardinality,1.462457874789834,2666034,3.0007119189027596,1,1.127242584247142,,0.49150304216891527,21841203,0,1,133,0.002416625,0.7662744582630694,7816,499536,0,0,0,0.010992832947522402,1000000,>,nonselective_range,,2.602139000315219,24000000,1,1,0,,0.030449867248535156,0.499536,500000,,2.9583461582660675e-06,23448,499536,0,0,0,0.047944784
,,3.7499703466892242e-06,8128964,465121,0.056829929,,,,,,,31,0.037955041,31000000,465121,0,0.005337875,31,16.35624195775017,3875000,465121,0,0.348904625,hash_val,high_cardinality,2.348033499903977,4039080,1.9806490586965348,0,1.7138581252656877,,0.622337875,33477436,0,0,0,6.249174475669861e-07,0.7941251657903194,7816,465121,0,0,0,0.010605792049318552,1000000,<,hash_range,,2.5748324156738818,24000000,1,0,0,,0.033475876,0.465121,1000000000,,2.209097146987915e-06,23448,465121,0,0,0,0.047984838
,,0,8000000,233104,0.15087025007233024,,,,,,,,,,,,,,,,233104,0,27.52265225024894,random_val AND hash_val,high_cardinality,,,,,,,,,,,,,,,,,,,,1000000,< AND <,and_predicate,,,,,,,,,0.233104,500000 AND 1000000000,,,,233104,0,,0,0.15135645819827914
hash_val,500463,0,8000000,500463,0.082686042,,,,,,,,,,,,,,,,,,,random_val,high_cardinality,,,,,,1,0,,,,,0.5138778751716018,,,,,,,,1000000,<,aggregation_count,1,0,24000000,,,,0.031660175,2.6116735828109086,0.500463,500000,500463,,,500463,,,,0.075672417
,,2.7497299015522003e-06,8128964,19052,0.036986113,,,,,,,,,,,,,6,3.0029838331975043,750000,19052,0,0.32441291585564613,cluster_id,mixed,0.20276133297011256,172468,46.38541642507596,19052,0.00705375,,0.22273266734555364,8000890,0,19052,943,0.000366208,0.7423296668566763,7816,19052,0,0,943,0.000511041,1000000,=,equality,,1.2730019576847553,32760,1,19052,0,,3.600120544433594e-05,0.019052,25,,2.1671876311302185e-06,23448,19052,0,943,0.9651995905834186,0.005480051
,,2.084299921989441e-06,8128964,249773,0.047149181,,,,,,,5,0.016648875,5000000,249773,0,0.000751542,5,2.7674389593303204,625000,249773,0,0.33584762504324317,sensor_reading,mixed,0.5235798326320946,792988,10.088425045524017,49830,0.3693632921203971,,0.21876054210588336,8000360,0,49830,0,0.003780208,0.7428532922640443,7816,249773,0,0,0,0.008508166,1000000,<,selective_range,,2.5235695000737906,22799568,1,49830,0,,0.020748854,0.249773,15,,1.7499551177024841e-06,23448,249773,0,0,0,0.03964591
,,2.1248124539852142e-06,8128964,901250,0.065022945,,,,,,,,,,,,,17,8.820481791,2125000,901250,0,0.36189762502908707,amount,mixed,1.2842932501807809,2291034,3.491873101839606,13,0.9713488342240453,,0.27845670795068145,10087037,0,13,570,0.00111125,0.7728347908705473,7816,901250,0,0,0,0.015164666809141636,1000000,>,nonselective_range,,2.588780124671757,23999928,1,13,0,,0.025946855545043945,0.90125,10000,,2.00001522898674e-06,23448,901250,0,0,0,0.053451777
,,2.4172477424144745e-06,8128964,100131,0.0391469,,,,,,,31,0.043757959,31000000,100131,0,0.006418792,31,18.07226563,3875000,100131,0,0.3310592076741159,timestamp,mixed,0.38757316675037146,542988,14.733290606790574,0,0.001223584,,0.5793448751792312,34000000,0,0,0,8.330680429935455e-07,0.7880569999106228,7816,100131,0,0,879,0.001732333,1000000,<=,timestamp_range,,2.585475708,24000000,1,0,0,,0.033510208,0.100131,1600500000,,1.0421499609947205e-06,23448,100131,0,879,0.8996929375639714,0.007452965
,,0,8000000,239240,0.14093083329498768,,,,,,,,,,,,,,,,239240,0,6.449120749719441,cluster_id AND sensor_reading,mixed,,,,,,,,,,,,,,,,,,,,1000000,> AND <,and_predicate,,,,,,,,,0.23924,25 AND 20,,,,239240,0,,0.25742067553735926,0.1264240830205381
amount,957931193,0,8000000,19052,0.060893,,,,,,,,,,,,,,,,,,,cluster_id,mixed,,,,,,957931193,0,,,,,0.22323287464678288,,,,,,,,1000000,=,aggregation_sum,,,,,,,,,0.019052,25,957931193,,,19052,,,,0.027378083
