agg_column,baseline_agg_result,baseline_build_time,baseline_bytes,baseline_count,baseline_time,bitmap_build_time,bitmap_bytes,bitmap_cardinality,bitmap_count,bitmap_mismatch,bitmap_time,bitslice_bit_width,bitslice_build_time,bitslice_bytes,bitslice_count,bitslice_mismatch,bitslice_time,bitweave_bit_width,bitweave_build_time,bitweave_bytes,bitweave_count,bitweave_mismatch,bitweave_time,column,dataset,delta_build_time,delta_bytes,delta_compression_ratio,delta_count,delta_time,dict_agg_result,dict_build_time,dict_bytes,dict_cardinality,dict_count,dict_segments_skipped,dict_time,imprints_build_time,imprints_bytes,imprints_count,imprints_false_neg,imprints_false_pos,imprints_segments_pruned,imprints_time,n_rows,operator,query_type,rle_agg_result,rle_build_time,rle_bytes,rle_compression_ratio,rle_count,rle_run_count,rle_speedup,rle_time,selectivity,value,zonemap_agg_result,zonemap_build_time,zonemap_bytes,zonemap_count,zonemap_mismatch,zonemap_segments_skipped,zonemap_skip_ratio,zonemap_time
priority,299982.0,0.0,8128964,99821,0.06353812478482723,,,,,,,,,,,,,,,,,,,category,low_cardinality,,,,,,299982.0,,,,,,0.2253144159913063,,,,,,,,1000000,=,aggregation_sum,,,,,,,,,0.099821,5,299982.0,,,99821,,,,0.05910191684961319
,,2.1671876311302185e-06,8128964,1,0.03421616554260254,,,,,,,,,,,,,20,10.335963707882911,2500000,1,0,0.3214683746919036,random_val,high_cardinality,1.531005541794002,2666034,3.0007119189027596,1,1.1447916249744594,,0.4704327075742185,21841203,0,1,133,0.002280124928802252,0.7742076250724494,7816,1,0,0,0,0.004902958869934082,1000000,=,equality_rare,,2.5733827077783644,24000000,1.0,1,0,,0.025739192962646484,1e-06,500000,,1.0421499609947205e-06,23448,1,0,0,0.0,0.02993011474609375
,,2.7078203856945038e-06,8128964,100175,0.03957676887512207,,,,,,,20,0.025369542185217142,20000000,100175,0,0.0023035830818116665,20,10.278347332961857,2500000,100175,0,0.32191749988123775,random_val,high_cardinality,1.503498874604702,2666034,3.0007119189027596,0,1.1626698751933873,,0.47446812503039837,21841203,0,0,0,7.665716111660004e-06,0.7591529581695795,7816,100175,0,0,0,0.0068120406940579414,1000000,<,selective_range,,2.5551400831900537,24000000,1.0,0,0,,0.027241945266723633,0.100175,100000,,3.4999102354049683e-06,23448,100175,0,0,0.0,0.035578012466430664
,,2.791173756122589e-06,8128964,499536,0.04909324645996094,,,,,,,,,,,,,20,10.261362166143954,2500000,499536,0,0.3425336671061814,random_val,high_cardinality,1.5089434580877423,2666034,3.0007119189027596,1,1.1408047499135137,,0.505231250077486,21841203,0,1,133,0.0023432918824255466,0.7564375000074506,7816,499536,0,0,0,0.011623832862824202,1000000,>,nonselective_range,,2.5949856657534838,24000000,1.0,1,0,,0.02715921401977539,0.499536,500000,,1.6670674085617065e-06,23448,499536,0,0,0.0,0.046685218811035156
,,2.8330832719802856e-06,8128964,465121,0.054035186767578125,,,,,,,31,0.03501608408987522,31000000,465121,0,0.0039873747155070305,31,16.223755709361285,3875000,465121,0,0.3440791666507721,hash_val,high_cardinality,2.39999191602692,4039080,1.9806490586965348,0,1.7655881252139807,,0.6172956670634449,33477436,0,0,0,7.082708179950714e-07,0.7846900839358568,7816,465121,0,0,0,0.010529791936278343,1000000,<,hash_range,,2.5940206251107156,24000000,1.0,0,0,,0.03434109687805176,0.465121,1000000000,,1.7504207789897919e-06,23448,465121,0,0,0.0,0.04629087448120117
,,0.0,8128964.0,233104,0.14668674999848008,,,,,,,,,,,,,,,,233104,0,26.927688416093588,random_val AND hash_val,high_cardinality,,,,,,,,,,,,,,,,,,,,1000000,< AND <,and_predicate,,,,,,,,,0.233104,500000 AND 1000000000,,,,233104,0,,0.0,0.14468950033187866
hash_val,500463.0,0.0,8128964,500463,0.0762454173527658,,,,,,,,,,,,,,,,,,,random_val,high_cardinality,,,,,,1.0,,,,,,0.5037896251305938,,,,,,,,1000000,<,aggregation_count,1,,24000000,,,,0.029324414722298294,2.6000661249272525,0.500463,500000,500463.0,,,500463,,,,0.0721489591524005
,,2.250075340270996e-06,8128964,19052,0.03581118583679199,,,,,,,,,,,,,6,2.9625502079725266,750000,19052,0,0.3253408749587834,cluster_id,mixed,0.208597999997437,172468,46.38541642507596,19052,0.0071035828441381454,,0.2168481252156198,8000890,0,19052,943,0.000604500062763691,0.7383435829542577,7816,19052,0,0,943,0.000810207799077034,1000000,=,equality,,1.2631301661022007,32760,1.0,19052,0,,3.409385681152344e-05,0.019052,25,,1.166015863418579e-06,23448,19052,0,943,0.9651995905834186,0.0041391849517822266
,,1.5832483768463135e-06,8128964,249773,0.04622912406921387,,,,,,,5,0.016788458917289972,5000000,249773,0,0.0009756661020219326,5,2.685138499829918,625000,249773,0,0.3370694578625262,sensor_reading,mixed,0.5383388749323785,792988,10.088425045524017,49830,0.3755304580554366,,0.2143362918868661,8000360,0,49830,0,0.003846665844321251,0.73611233336851,7816,249773,0,0,0,0.009464249946177006,1000000,<,selective_range,,2.521045333240181,22799568,1.0,49830,0,,0.02036881446838379,0.249773,15,,1.6670674085617065e-06,23448,249773,0,0,0.0,0.03921318054199219
,,2.9588118195533752e-06,8128964,901250,0.060235023498535156,,,,,,,,,,,,,17,8.710557791870087,2125000,901250,0,0.35453470796346664,amount,mixed,1.3144620000384748,2291034,3.491873101839606,13,0.9805419999174774,,0.27553708385676146,10087037,0,13,570,0.0011062920093536377,0.7583427079953253,7816,901250,0,0,0,0.01685854187235236,1000000,>,nonselective_range,,2.630720667075366,23999928,1.0,13,0,,0.029044151306152344,0.90125,10000,,2.500135451555252e-06,23448,901250,0,0,0.0,0.056595802307128906
,,2.8330832719802856e-06,8128964,100131,0.03894209861755371,,,,,,,31,0.028268749825656414,31000000,100131,0,0.004660333972424269,31,16.581144999712706,3875000,100131,0,0.3226278331130743,timestamp,mixed,0.39375491673126817,542988,14.733290606790574,0,0.001768208108842373,,0.5520943338051438,34000000,0,0,0,1.0416842997074127e-06,0.7669241670519114,7816,100131,0,0,879,0.001761958934366703,1000000,<=,timestamp_range,,2.5521482080221176,24000000,1.0,0,0,,0.026302099227905273,0.100131,1600500000,,1.2083910405635834e-06,23448,100131,0,879,0.8996929375639714,0.007112979888916016
,,0.0,8128964.0,239240,0.13831083290278912,,,,,,,,,,,,,,,,239240,0,6.331332458183169,cluster_id AND sensor_reading,mixed,,,,,,,,,,,,,,,,,,,,1000000,> AND <,and_predicate,,,,,,,,,0.23924,25 AND 20,,,,239240,0,,0.25742067553735926,0.11941058374941349
amount,957931193.0,0.0,8128964,19052,0.06017075013369322,,,,,,,,,,,,,,,,,,,cluster_id,mixed,,,,,,957931193.0,,,,,,0.21727100014686584,,,,,,,,1000000,=,aggregation_sum,,,,,,,,,0.019052,25,957931193.0,,,19052,,,,0.029892959166318178
